scenario_id,truth_source,road_level,weather,time,low_velocity_ratio[%],average_ego_velocity[m/s],average_velocity[m/s],flow[/s],area_occ[%]
20241111_192515_n000015,robosense,城区道路,晴天,night,0.47277556440903057,9.559375544639318,3.1141270987402874,0.17628282204557638,0.06495796886331207
20241111_192515_n000016,robosense,城区道路,晴天,night,0.7395348837209302,10.137941139084953,2.420704850564855,0.2539648942730805,0.10246895565737763
20241111_192515_n000017,robosense,城区道路,晴天,night,0.4078860172299536,10.051607026157262,4.441795718006196,0.20146030561257083,0.03968805531022475
20241111_192515_n000021,robosense,城区道路,晴天,night,0.24178013948854202,7.452927464724527,3.466376089734171,0.11771106704281128,0.013948763534944954
20241111_192515_n000022,robosense,城区道路,晴天,night,0.28148886673313395,7.25952311967061,3.34547927845999,0.15662920240833267,0.018884746640606874
20241111_192515_n000023,robosense,城区道路,晴天,night,0.3599602253894597,9.65438652310206,3.7710094934133953,0.10805105955848839,0.009354224194149423
20241111_192515_n000024,robosense,城区道路,晴天,night,0.3466003316749585,11.798430322269498,5.468329552744751,0.286788238161206,0.04793802567602987
20241111_192515_n000025,robosense,城区道路,晴天,night,0.2452704945237305,11.036708790373153,5.371486160418257,0.21132959720938382,0.05831511448534949
20241111_192515_n000026,robosense,城区道路,晴天,night,0.12155430089671206,9.316250297117323,6.129531592942937,0.2204051961601187,0.02403126967567042
20241111_192515_n000027,robosense,城区道路,晴天,night,0.15387171817879694,9.756490320458903,3.505471579629536,0.08681785653043703,0.016427185956204623
20241111_192515_n000028,robosense,城区道路,晴天,night,0.3705667882001989,11.9992473883777,2.890311692439125,0.09539536216254973,0.011735198966825225
20241111_192515_n000029,robosense,城区道路,晴天,night,0.16478779840848806,12.186351407563322,7.733541348583428,0.25014780673594633,0.025997295924364144
20241111_192515_n000030,robosense,城区道路,晴天,night,0.24776119402985075,12.724686004497388,6.262962990491741,0.28972072680425187,0.031581474637870366
20241111_192515_n000031,robosense,城区道路,晴天,night,0.2773722627737226,10.380972547307815,6.294770382294894,0.2969465407273253,0.039539139542535025
20241111_220141_n000001,robosense,高速/快速路,晴天,night,0.0,19.81699288329977,18.119800937539758,0.5493376014402692,0.015701730022765245
20241111_220141_n000002,robosense,高速/快速路,晴天,night,0.0,21.363115296123514,19.039070978833614,0.671755350785382,0.019175689866807615
20241111_220141_n000003,robosense,高速/快速路,晴天,night,0.0,21.89279062287572,19.150300782042923,0.628522306263562,0.015280314035003685
20241111_220141_n000004,robosense,高速/快速路,晴天,night,0.0,20.43016603483151,16.62581544541506,0.5477071266026176,0.015152673130877078
20241111_220141_n000005,robosense,高速/快速路,晴天,night,0.0,21.23936150239058,12.884344462472832,0.2765744424364308,0.0074409498072471845
20241111_220141_n000007,robosense,高速/快速路,晴天,night,0.0,22.130278705601985,7.087510643872328,0.14558457731002633,0.003728491358893818
20241111_220141_n000008,robosense,高速/快速路,晴天,night,0.0,22.703577275140127,13.6867571984273,0.31823508982688303,0.008781920561744889
20241111_220141_n000009,robosense,高速/快速路,晴天,night,0.0,22.210915951456524,14.579780384417175,0.42072435266533653,0.014643352368383088
20241111_224739_n000001,robosense,城区道路,晴天,night,0.21246271130261848,14.03874727341061,7.030898573079587,0.22127502992281664,0.027303341880314833
20241111_224739_n000002,robosense,城区道路,晴天,night,0.12802653399668326,16.601947428473686,6.6240823505380835,0.18744699637248768,0.01284319885764013
